uniqueID,senatorsState,senatorFrom,senatorTo,senatorEndReason,sec15Sel,senatorComments
Abbott1859,VIC,1928-12-18,1929-06-30,Retired,1,NA
Abbott1869,NSW,1925-11-14,1929-06-30,Defeated,0,NA
Abbott1877,NSW,1935-07-01,1941-06-30,Defeated,0,NA
Abetz1958,TAS,1994-02-22,NA,NA,1,NA
Adams1943,WA,2005-07-01,2012-03-31,Died,0,NA
Adamson1857,QLD,1920-07-01,1922-05-02,Died,0,NA
Allison1946,VIC,1996-07-01,2008-06-30,Defeated,0,NA
Alston1941,VIC,1986-05-07,2004-02-10,Resigned,1,NA
Amour1900,NSW,1938-07-01,1965-06-30,Retired,0,NA
Anderson1909,NSW,1953-07-01,1975-11-11,Retired,0,NA
Andrew1866,VIC,1925-11-14,1928-11-18,Died,0,NA
Anning1949,QLD,2017-11-10,2019-06-30,NA,0,NA
Antic1974,SA,2019-07-01,NA,NA,0,NA
Arbib1971,NSW,2008-07-01,2012-03-05,Resigned,0,NA
Archer1929,TAS,1975-12-13,1994-01-31,Resigned,0,NA
Arkins1888,NSW,1935-09-26,1937-10-22,Term Expired; Defeated,1,NA
Armstrong1908,NSW,1938-07-01,1962-06-30,Retired,0,NA
Arnold1902,NSW,1941-07-01,1965-06-30,Retired,0,NA
Arthur1883,NSW,1938-07-01,1944-06-30,Defeated,0,NA
Ashley1881,NSW,1937-10-23,1958-06-27,Died,0,NA
Askew1963,TAS,2019-03-06,NA,NA,0,NA
Aulich1945,TAS,1984-12-01,1993-06-30,Defeated,0,NA
Aylett1900,TAS,1938-07-01,1965-06-30,Retired,0,NA
Ayres,NSW,2019-07-01,NA,NA,0,NA
Back1950,WA,2009-03-11,2017-07-31,Resigned,1,NA
Badman1885,SA,1932-07-01,1937-09-30,Resigned,0,NA
Baker1841,SA,1901-03-30,1906-12-31,Retired,0,NA
Bakhap1866,TAS,1913-07-01,1923-08-18,Diedb,0,NA
Barker1846,VIC,1910-07-01,1920-06-30,Defeated,0,NA
Barker1846,VIC,1923-07-01,1924-06-21,Died,0,NA
Barnes1868,VIC,1913-07-01,1920-06-30,Defeated,0,NA
Barnes1868,VIC,1923-07-01,1935-06-30,Defeated,0,Died 31.1.1938 while Senator-elect.
Barnett1962,TAS,2002-02-26,2011-06-30,Defeated,1,NA
Barrett1858,VIC,1901-03-29,1903-12-31,Defeated,0,NA
Bartlett1964,QLD,1997-10-30,2008-06-30,Defeated,1,NA
Barwell1877,SA,1925-12-18,1928-03-22,Resigned,1,NA
Baume1930,NSW,1985-07-01,1996-09-09,Resigned,0,NA
Baume1935,NSW,1974-05-18,1991-01-28,Resigned,0,NA
Beahan1937,WA,1987-07-11,1996-06-30,Defeated,0,NA
Beerworth1886,SA,1946-09-28,1951-03-19,Retired,0,NA
Bell1950,TAS,1990-03-07,1996-06-30,Defeated,1,NA
Benn1897,QLD,1950-07-01,1968-06-30,Retired,0,NA
Benny1869,SA,1920-07-01,1926-01-26,Resigned,0,NA
Bernardi1969,SA,2006-05-04,2020-01-20,Resigned,1,NA
Bernardi1969,SA,2017-02-07,2019-06-25,Resigned,1,NA
Bessell1923,TAS,1974-05-18,1975-11-11,Defeated,0,NA
