number,cabinet,cabinet_party,cabinet_from,cabinet_to,person,from,to
1,Barton Ministry ,Protectionist ,1.1.1901,24.9.1903,"Barton, E",1.1.1901,24.9.1903
1,Barton Ministry ,Protectionist ,1.1.1901,24.9.1903,"Deakin, A",1.1.1901,24.9.1903
1,Barton Ministry ,Protectionist ,1.1.1901,24.9.1903,"Lyne, WJ",1.1.1901,24.9.1903
1,Barton Ministry ,Protectionist ,1.1.1901,24.9.1903,"Forrest, J",11.8.1903,17.1.1901
1,Barton Ministry ,Protectionist ,1.1.1901,24.9.1903,"Turner, G",1.1.1901,24.9.1903
1,Barton Ministry ,Protectionist ,1.1.1901,24.9.1903,"Kingston, CC",1.1.1901,24.7.1903
1,Barton Ministry ,Protectionist ,1.1.1901,24.9.1903,"Dickson, JR",1.1.1901,10.1.1901
1,Barton Ministry ,Protectionist ,1.1.1901,24.9.1903,"Drake, Senator JG",10.8.1903,24.9.1903
1,Barton Ministry ,Protectionist ,1.1.1901,24.9.1903,"Fysh, PO",10.8.1903,10.8.1903
1,Barton Ministry ,Protectionist ,1.1.1901,24.9.1903,"O'Connor, Senator RE",1.1.1901,24.9.1903
1,Barton Ministry ,Protectionist ,1.1.1901,24.9.1903,"Lewis, NE",1.1.1901,23.4.1901
2,Deakin Ministry ,Protectionist ,24.9.1903,27.4.1904,"Deakin, A",24.9.1903,27.4.1904
2,Deakin Ministry ,Protectionist ,24.9.1903,27.4.1904,"Lyne, WJ",24.9.1903,27.4.1904
2,Deakin Ministry ,Protectionist ,24.9.1903,27.4.1904,"Turner, G",24.9.1903,27.4.1904
2,Deakin Ministry ,Protectionist ,24.9.1903,27.4.1904,"Forrest, J",24.9.1903,27.4.1904
2,Deakin Ministry ,Protectionist ,24.9.1903,27.4.1904,"Drake, Senator JG",24.9.1903,27.4.1904
2,Deakin Ministry ,Protectionist ,24.9.1903,27.4.1904,"Fysh, PO",24.9.1903,27.4.1904
2,Deakin Ministry ,Protectionist ,24.9.1903,27.4.1904,"Chapman, A",24.9.1903,27.4.1904
2,Deakin Ministry ,Protectionist ,24.9.1903,27.4.1904,"Playford, Senator T",24.9.1903,27.4.1904
3,Watson Ministry ,ALP ,27.4.1904,17.8.1904,"Watson, JC",27.4.1904,17.8.1904
3,Watson Ministry ,ALP ,27.4.1904,17.8.1904,"Hughes, WM",27.4.1904,17.8.1904
3,Watson Ministry ,ALP ,27.4.1904,17.8.1904,"Higgins, HB",27.4.1904,17.8.1904
3,Watson Ministry ,ALP ,27.4.1904,17.8.1904,"Batchelor, EL",27.4.1904,17.8.1904
3,Watson Ministry ,ALP ,27.4.1904,17.8.1904,"Fisher, A",27.4.1904,17.8.1904
3,Watson Ministry ,ALP ,27.4.1904,17.8.1904,"Dawson, Senator A",27.4.1904,17.8.1904
3,Watson Ministry ,ALP ,27.4.1904,17.8.1904,"Mahon, H",27.4.1904,17.8.1904
3,Watson Ministry ,ALP ,27.4.1904,17.8.1904,"McGregor, Senator G",27.4.1904,17.8.1904
4,Reid-McLean Ministry ,Free Trade-Protectionist Coalition ,18.8.1904,5.7.1905,"Reid, GH (FT)",18.8.1904,5.7.1905
4,Reid-McLean Ministry ,Free Trade-Protectionist Coalition ,18.8.1904,5.7.1905,"McLean, A (PROT)",18.8.1904,5.7.1905
4,Reid-McLean Ministry ,Free Trade-Protectionist Coalition ,18.8.1904,5.7.1905,"Symon, Senator JH (FT)",18.8.1904,5.7.1905
