number,person,from,to
1,"Barton, E",1.1.1901,24.9.1903
1,"Deakin, A",1.1.1901,24.9.1903
1,"Lyne, WJ",1.1.1901,24.9.1903
1,"Forrest, J",11.8.1903,17.1.1901
1,"Turner, G",1.1.1901,24.9.1903
1,"Kingston, CC",1.1.1901,24.7.1903
1,"Dickson, JR",1.1.1901,10.1.1901
1,"Drake, Senator JG",10.8.1903,24.9.1903
1,"Fysh, PO",10.8.1903,10.8.1903
1,"O'Connor, Senator RE",1.1.1901,24.9.1903
1,"Lewis, NE",1.1.1901,23.4.1901
2,"Deakin, A",24.9.1903,27.4.1904
2,"Lyne, WJ",24.9.1903,27.4.1904
2,"Turner, G",24.9.1903,27.4.1904
2,"Forrest, J",24.9.1903,27.4.1904
2,"Drake, Senator JG",24.9.1903,27.4.1904
2,"Fysh, PO",24.9.1903,27.4.1904
2,"Chapman, A",24.9.1903,27.4.1904
2,"Playford, Senator T",24.9.1903,27.4.1904
3,"Watson, JC",27.4.1904,17.8.1904
3,"Hughes, WM",27.4.1904,17.8.1904
3,"Higgins, HB",27.4.1904,17.8.1904
3,"Batchelor, EL",27.4.1904,17.8.1904
3,"Fisher, A",27.4.1904,17.8.1904
3,"Dawson, Senator A",27.4.1904,17.8.1904
3,"Mahon, H",27.4.1904,17.8.1904
3,"McGregor, Senator G",27.4.1904,17.8.1904
4,"Reid, GH (FT)",18.8.1904,5.7.1905
4,"McLean, A (PROT)",18.8.1904,5.7.1905
4,"Symon, Senator JH (FT)",18.8.1904,5.7.1905
4,"Turner, G (PROT)",18.8.1904,5.7.1905
4,"Thomson, D (FT)",18.8.1904,5.7.1905
4,"McCay, JW (PROT)",18.8.1904,5.7.1905
4,"Smith, S (FT)",18.8.1904,5.7.1905
4,"Drake, Senator JG (PROT)",18.8.1904,5.7.1905
5,"Deakin, A",5.7.1905,13.11.1908
5,"Isaacs, IA",5.7.1905,12.10.1906
5,"Groom, LE",12.10.1906,12.10.1906
5,"Lyne, WJ",5.7.1905,13.11.1908
5,"Chapman, A",30.7.1907,30.7.1907
5,"Forrest, J",5.7.1905,30.7.1907
5,"Mauger, S",30.7.1907,30.7.1907
5,"Playford, Senator T",5.7.1905,24.1.1907
5,"Ewing, TT",24.1.1907,12.10.1906
5,"Keating, Senator JH",24.1.1907,12.10.1906
5,"Best, Senator RW",20.2.1907,13.11.1908
5,"Cook, JNHH",28.1.1908,13.11.1908
6,"Fisher, A",13.11.1908,2.6.1909
6,"Hughes, WM",13.11.1908,2.6.1909
6,"Batchelor, EL",13.11.1908,2.6.1909
6,"Mahon, H",13.11.1908,2.6.1909
6,"Thomas, J",13.11.1908,2.6.1909
6,"Pearce, Senator GF",13.11.1908,2.6.1909
6,"Tudor, FG",13.11.1908,2.6.1909
6,"McGregor, Senator G",13.11.1908,2.6.1909
6,"Hutchison, J",13.11.1908,2.6.1909
7,"Deakin, A (PROT)",2.6.1909,29.4.1910
7,"Cook, J (FT)",2.6.1909,29.4.1910
7,"Forrest, J (PROT)",2.6.1909,29.4.1910
7,"Best, Senator RW (PROT)",2.6.1909,29.4.1910
7,"Groom, LE (PROT)",2.6.1909,29.4.1910
7,"Glynn, PMcM (FT)",2.6.1909,29.4.1910
7,"Quick, J (PROT)",2.6.1909,29.4.1910
7,"Fuller, GW (FT)",2.6.1909,29.4.1910
7,"Millen, Senator ED (FT)",2.6.1909,29.4.1910
7,"Foxton, JFG (FT)",2.6.1909,29.4.1910
8,"Fisher, A",29.4.1910,24.6.1913
8,"Hughes, WM",29.4.1910,24.6.1913
8,"Batchelor, EL",29.4.1910,8.10.1911
8,"Thomas, J",14.10.1911,14.10.1911
8,"Frazer, CE",14.10.1911,14.10.1911
8,"Pearce, Senator GF",29.4.1910,24.6.1913
8,"Tudor, FG",29.4.1910,24.6.1913
8,"O'Malley, K",29.4.1910,24.6.1913
8,"McGregor, Senator G",29.4.1910,24.6.1913
8,"Findley, Senator E",29.4.1910,24.6.1913
8,"Roberts, EA",23.10.1911,24.6.1913
9,"Cook, J",24.6.1913,17.9.1914
9,"Forrest, J",24.6.1913,17.9.1914
9,"Irvine, WH",24.6.1913,17.9.1914
9,"Millen, Senator ED",24.6.1913,17.9.1914
9,"Glynn, PMcM",24.6.1913,17.9.1914
9,"Groom, LE",24.6.1913,17.9.1914
9,"Wynne, A",24.6.1913,17.9.1914
9,"McColl, Senator JH",24.6.1913,17.9.1914
9,"Clemons, Senator JS",24.6.1913,17.9.1914
10,"Fisher, A",17.9.1914,27.10.1915
10,"Hughes, WM",17.9.1914,27.10.1915
10,"Pearce, Senator GF",17.9.1914,27.10.1915
10,"Tudor, FG",17.9.1914,27.10.1915
10,"Arthur, JA",17.9.1914,9.12.1914
