number,ministry,ministry_party,ministry_from,ministry_to,level,job,person,job_from,job_to,comment,,
1,Barton Ministry ,Protectionist ,1.1.1901,24.9.1903,Minister,Prime Minister,"Barton, E",1.1.1901,24.9.1903,,,
1,Barton Ministry ,Protectionist ,1.1.1901,24.9.1903,Minister,Minister for External Affairs,"Barton, E",1.1.1901,24.9.1903,,,
1,Barton Ministry ,Protectionist ,1.1.1901,24.9.1903,Minister,Attorney-General,"Deakin, A",1.1.1901,24.9.1903,,,
1,Barton Ministry ,Protectionist ,1.1.1901,24.9.1903,Minister,Minister for Home Affairs,"Lyne, WJ",1.1.1901,11.8.1903,,,
1,Barton Ministry ,Protectionist ,1.1.1901,24.9.1903,Minister,Minister for Home Affairs,"Forrest, J",11.8.1903,24.9.1903,,,
1,Barton Ministry ,Protectionist ,1.1.1901,24.9.1903,Minister,Treasurer,"Turner, G",1.1.1901,24.9.1903,,,
1,Barton Ministry ,Protectionist ,1.1.1901,24.9.1903,Minister,Minister for Trade and Customs,"Kingston, CC",1.1.1901,24.7.1903,,,
1,Barton Ministry ,Protectionist ,1.1.1901,24.9.1903,Minister,Minister for Trade and Customs,"Lyne, WJ",11.8.1903,24.9.1903,,,
1,Barton Ministry ,Protectionist ,1.1.1901,24.9.1903,Minister,Minister for Defence,"Dickson, JR",1.1.1901,10.1.1901,,,
1,Barton Ministry ,Protectionist ,1.1.1901,24.9.1903,Minister,Minister for Defence,"Forrest, J",17.1.1901,10.8.1903,,,
1,Barton Ministry ,Protectionist ,1.1.1901,24.9.1903,Minister,Minister for Defence,"Drake, Senator JG",10.8.1903,24.9.1903,,,
1,Barton Ministry ,Protectionist ,1.1.1901,24.9.1903,Minister,Postmaster-General,"Forrest, J",1.1.1901,17.1.1901,,,
1,Barton Ministry ,Protectionist ,1.1.1901,24.9.1903,Minister,Postmaster-General,"Drake, Senator JG",5.2.1901,24.9.1903,,,
1,Barton Ministry ,Protectionist ,1.1.1901,24.9.1903,Minister,Postmaster-General,"Fysh, PO",10.8.1903,24.9.1903,,,
1,Barton Ministry ,Protectionist ,1.1.1901,24.9.1903,Minister,Vice-President of Executive Council,"O'Connor, Senator RE",1.1.1901,24.9.1903,,,
1,Barton Ministry ,Protectionist ,1.1.1901,24.9.1903,Minister,Minister (without portfolio),"Lewis, NE",1.1.1901,23.4.1901,,,
1,Barton Ministry ,Protectionist ,1.1.1901,24.9.1903,Minister,Minister (without portfolio),"Fysh, PO",26.4.1901,10.8.1903,,,
2,Deakin Ministry ,Protectionist ,24.9.1903,27.4.1904,Minister,Prime Minister,"Deakin, A",24.9.1903,27.4.1904,,,
2,Deakin Ministry ,Protectionist ,24.9.1903,27.4.1904,Minister,Minister for External Affairs,"Deakin, A",24.9.1903,27.4.1904,,,
2,Deakin Ministry ,Protectionist ,24.9.1903,27.4.1904,Minister,Minister for Trade and Customs ,"Lyne, WJ",24.9.1903,27.4.1904,,,
2,Deakin Ministry ,Protectionist ,24.9.1903,27.4.1904,Minister,Treasurer,"Turner, G",24.9.1903,27.4.1904,,,
2,Deakin Ministry ,Protectionist ,24.9.1903,27.4.1904,Minister,Minister for Home Affairs,"Forrest, J",24.9.1903,27.4.1904,,,
2,Deakin Ministry ,Protectionist ,24.9.1903,27.4.1904,Minister,Attorney-General,"Drake, Senator JG",24.9.1903,27.4.1904,,,
2,Deakin Ministry ,Protectionist ,24.9.1903,27.4.1904,Minister,Postmaster-General,"Fysh, PO",24.9.1903,27.4.1904,,,
2,Deakin Ministry ,Protectionist ,24.9.1903,27.4.1904,Minister,Minister for Defence,"Chapman, A",24.9.1903,27.4.1904,,,
2,Deakin Ministry ,Protectionist ,24.9.1903,27.4.1904,Minister,Vice-President of Executive Council,"Playford, Senator T",24.9.1903,27.4.1904,,,
3,Watson Ministry ,ALP ,27.4.1904,17.8.1904,Minister,Prime Minister,"Watson, JC",27.4.1904,17.8.1904,,,
3,Watson Ministry ,ALP ,27.4.1904,17.8.1904,Minister,Treasurer,"Watson, JC",27.4.1904,17.8.1904,,,
3,Watson Ministry ,ALP ,27.4.1904,17.8.1904,Minister,Minister for External Affairs ,"Hughes, WM",27.4.1904,17.8.1904,,,
3,Watson Ministry ,ALP ,27.4.1904,17.8.1904,Minister,Attorney-General,"Higgins, HB",27.4.1904,17.8.1904,,,
3,Watson Ministry ,ALP ,27.4.1904,17.8.1904,Minister,Minister for Home Affairs,"Batchelor, EL",27.4.1904,17.8.1904,,,
