title,person,file,type,date,uniqueID
Prime Minister,The Hon Julia Gillard MP,inputs/data/australia/ministry_lists/2011-02-21-2011-03-03.html,Cabinet,21 February 2011 - 3 March 2011,Gillard1961
Treasurer,The Hon Wayne Swan MP,inputs/data/australia/ministry_lists/2011-02-21-2011-03-03.html,Cabinet,21 February 2011 - 3 March 2011,Swan1954
Deputy Prime Minister,The Hon Wayne Swan MP,inputs/data/australia/ministry_lists/2011-02-21-2011-03-03.html,Cabinet,21 February 2011 - 3 March 2011,Swan1954
Minister for Foreign Affairs,The Hon Kevin Rudd MP,inputs/data/australia/ministry_lists/2011-02-21-2011-03-03.html,Cabinet,21 February 2011 - 3 March 2011,Rudd1957
"Minister for Tertiary Education, Skills, Jobs and Workplace Relations",Senator the Hon Chris Evans,inputs/data/australia/ministry_lists/2011-02-21-2011-03-03.html,Cabinet,21 February 2011 - 3 March 2011,Evans1958
Leader of the Government in the Senate,Senator the Hon Chris Evans,inputs/data/australia/ministry_lists/2011-02-21-2011-03-03.html,Cabinet,21 February 2011 - 3 March 2011,Evans1958
"Minister for Regional Australia, Regional Development and Local Government",The Hon Simon Crean MP,inputs/data/australia/ministry_lists/2011-02-21-2011-03-03.html,Cabinet,21 February 2011 - 3 March 2011,Crean1949
Minister for the Arts,The Hon Simon Crean MP,inputs/data/australia/ministry_lists/2011-02-21-2011-03-03.html,Cabinet,21 February 2011 - 3 March 2011,Crean1949
Minister for Defence,The Hon Stephen Smith MP,inputs/data/australia/ministry_lists/2011-02-21-2011-03-03.html,Cabinet,21 February 2011 - 3 March 2011,Smith1955
Deputy Leader of the House,The Hon Stephen Smith MP,inputs/data/australia/ministry_lists/2011-02-21-2011-03-03.html,Cabinet,21 February 2011 - 3 March 2011,Smith1955
Minister for Health and Ageing,The Hon Nicola Roxon MP,inputs/data/australia/ministry_lists/2011-02-21-2011-03-03.html,Cabinet,21 February 2011 - 3 March 2011,Roxon1967
"Minister for Families, Housing, Community Services and Indigenous Affairs",The Hon Jenny Macklin MP,inputs/data/australia/ministry_lists/2011-02-21-2011-03-03.html,Cabinet,21 February 2011 - 3 March 2011,Macklin1953
Minister for Infrastructure and Transport,The Hon Anthony Albanese MP,inputs/data/australia/ministry_lists/2011-02-21-2011-03-03.html,Cabinet,21 February 2011 - 3 March 2011,Albanese1963
